ID,BusinessUnit,Effective Date,Document Language,BaseURL,Name,POPPIsArchived,Uploaded By,DocumentID,Document TYPE,POPPIsActive,Approval Status,Uploaded On,Document Template,Copy PPM Archived Documents,Planned Review Date,Item Type,Path,Document ID Value
3852,669;#Programme and Project Management,2022-10-18,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_GCF RACI.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3852'>POPP-11-3852</a>,Template,TRUE,Approved,2022-10-18 22:37,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3630,669;#Programme and Project Management,2021-10-21,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_GEF RACI for NIM Projects.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3630'>POPP-11-3630</a>,Template,TRUE,Approved,2022-10-18 22:37,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2615,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Formulate Programmes and Projects.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2615'>POPP-11-2615</a>,Policy,TRUE,Approved,2022-10-18 21:24,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2176,349;#Human Resources Management,2020-01-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,HR_Non-staff_Internship.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITBOM-3298-724'>UNITBOM-3298-724</a>,Policy,TRUE,Approved,2022-10-18 18:31,,,2023-01-01,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2950,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Select Responsible Party and Grantees_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2950'>POPP-11-2950</a>,Policy,TRUE,Approved,2022-10-17 13:13,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2633,669;#Programme and Project Management,2018-04-06,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Select Responsible Party and Grantees.docx,FALSE,Mamadou Ndaw,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2633'>POPP-11-2633</a>,Policy,TRUE,Approved,2022-10-14 21:40,,,2021-06-05,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3233,669;#Programme and Project Management,,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Select Responsible Party and Grantees_FR.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3233'>POPP-11-3233</a>,Policy,TRUE,Approved,2022-10-14 21:18,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
961,349;#Human Resources Management,2012-04-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,HR_Allowances and Benefits_Danger Pay.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-961'>POPP-11-961</a>,Policy,TRUE,Approved,2022-10-11 16:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2907,,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,Crisis Response_Financial Resouces for Crisis_Assessment_Coordination.docx,,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID='></a>,Policy,,Approved,2022-10-11 16:44,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2046,350;#Financial Resources Management,2012-01-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,FRM_Financial Operations Management_Corporate Operations and Information Management_Accountability and Internal Controls.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2046'>POPP-11-2046</a>,Policy,TRUE,Approved,2022-10-11 16:44,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2421,356;#Accountability,2017-04-07,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,AC_Accountability_Delegation of Authorities.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2421'>POPP-11-2421</a>,Policy,TRUE,Approved,2022-10-11 16:44,,,2019-12-31,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
1359,356;#Accountability,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,Ethics_Protection from Retaliation form.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITOFFICE-46-196'>UNITOFFICE-46-196</a>,Template,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2611,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Annual Planning.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2611'>POPP-11-2611</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2601,669;#Programme and Project Management,2021-01-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Social and Environmental Standards.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2601'>POPP-11-2601</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,2024-01-01,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2602,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Close_Close and Transition.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2602'>POPP-11-2602</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2910,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Development Services.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2910'>POPP-11-2910</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2610,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Appraise and Approve.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2610'>POPP-11-2610</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2606,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Multi-country and South-South Cooperation Projects.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2606'>POPP-11-2606</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2608,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Performance-Based Payments.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2608'>POPP-11-2608</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3557,669;#Programme and Project Management,2021-06-17,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Prepare Fully Costed Budgets for Projects.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITOHR-759415523-240'>UNITOHR-759415523-240</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,2023-06-17,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2815,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Select Implementation Partner.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2815'>POPP-11-2815</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2612,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Deliver Results.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2612'>POPP-11-2612</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2605,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Manage Change.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2605'>POPP-11-2605</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2613,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Monitor.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2613'>POPP-11-2613</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2614,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Provide Oversight.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2614'>POPP-11-2614</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2558,669;#Programme and Project Management,2018-05-06,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Quality Standards for Programming.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2558'>POPP-11-2558</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3675,669;#Programme and Project Management,2021-12-10,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_SOP_Project_Origination_and_Integrated_Programming.pptx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3675'>POPP-11-3675</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2958,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Close_Close and Transition_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2958'>POPP-11-2958</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3118,669;#Programme and Project Management,2022-06-13,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Quality Standards for Programming_FR.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3118'>POPP-11-3118</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2953,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Annual Planning_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2953'>POPP-11-2953</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2962,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Deliver Results_Sp.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2962'>POPP-11-2962</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2956,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Manage Change_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2956'>POPP-11-2956</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2955,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Provide Oversight_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2955'>POPP-11-2955</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2957,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Report_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2957'>POPP-11-2957</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2945,669;#Programme and Project Management,2022-06-13,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Quality Standards for Programming_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2945'>POPP-11-2945</a>,Policy,TRUE,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2542,354;#Crisis Response,,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,Engagement with NGOs under Country Based Pooled Funds (French).pdf,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2542'>POPP-11-2542</a>,Policy,TRUE,Approved,2022-10-10 17:09,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3120,354;#Crisis Response,2017-12-20,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,Crisis Response_Financial Resouces for Crisis_Assessment_Coordination_SP.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3120'>POPP-11-3120</a>,Policy,TRUE,Approved,2022-10-10 17:06,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3303,357;#Security,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_Framework of Accountability for Security_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITBOM-3298-724'>UNITBOM-3298-724</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3641,357;#Security,2021-11-03,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_UNDP Security Policy_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3641'>POPP-11-3641</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3302,357;#Security,,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_Framework of Accountability for Security_French.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITBOM-3298-724'>UNITBOM-3298-724</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3640,357;#Security,2021-11-03,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_UNDP Security Policy_French.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3640'>POPP-11-3640</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3117,431;#Information and Communications Technology,2016-07-27,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_Information Security Policy_SP.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3117'>POPP-11-3117</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2389,357;#Security,2022-05-13,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_Commercial Air Travel Safety Guidelines.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2389'>POPP-11-2389</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2329,357;#Security,2021-06-30,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_Security Policy.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2329'>POPP-11-2329</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3147,431;#Information and Communications Technology,2012-01-01,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,FRM_Banking Arrangement_Procurement of Banking Services_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3147'>POPP-11-3147</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3116,431;#Information and Communications Technology,2022-02-01,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_ Disaster Recovery Standards for UNDP Offices_SP.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3116'>POPP-11-3116</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3133,431;#Information and Communications Technology,2016-07-27,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_Information Security Policy_FR.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3133'>POPP-11-3133</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3134,431;#Information and Communications Technology,2022-02-01,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_ Disaster Recovery Standards for UNDP Offices_FR.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3134'>POPP-11-3134</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
1191,431;#Information and Communications Technology,2016-07-27,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_System Logon Banner Standards.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-1191'>POPP-11-1191</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,2021-12-01,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
1203,431;#Information and Communications Technology,2022-02-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_ Disaster Recovery Standards for UNDP Offices.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-1203'>POPP-11-1203</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,2023-02-01,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
1616,431;#Information and Communications Technology,2016-07-27,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_Information Security in System Acquisition.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-1616'>POPP-11-1616</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,2021-12-01,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
1815,431;#Information and Communications Technology,2016-07-27,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_Information Security Policy.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-1815'>POPP-11-1815</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,2021-12-01,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2140,431;#Information and Communications Technology,2020-04-13,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,FRM_Banking Arrangement_Establishment and Use of Electronic Banking Systems.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2140'>POPP-11-2140</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,2022-04-13,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2132,431;#Information and Communications Technology,2012-01-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,FRM_Banking Arrangement_Procurement of Banking Services.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2132'>POPP-11-2132</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
3813,431;#Information and Communications Technology,2016-07-27,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Oversight_Change Control and Release Management_Standards.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3813'>POPP-11-3813</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,2021-10-31,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
2984,356;#Accountability,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,AC_Accountability_Delegation of Authorities_Spanish.docx,FALSE,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITBMS-1904581467-107'>UNITBMS-1904581467-107</a>,Policy,TRUE,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,
