ID,BusinessUnit,Effective Date,Document Language,BaseURL,Name,POPPIsArchived,Uploaded By,DocumentID,Document TYPE,POPPIsActive,Approval Status,Uploaded On,Document Template,Copy PPM Archived Documents,Planned Review Date,Item Type,Path,Document ID Value,FileType,URL
3852,669;#Programme and Project Management,2022-10-18,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_GCF RACI.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3852'>POPP-11-3852</a>,Template,True,Approved,2022-10-18 22:37,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_GCF RACI.docx
3630,669;#Programme and Project Management,2021-10-21,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_GEF RACI for NIM Projects.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3630'>POPP-11-3630</a>,Template,True,Approved,2022-10-18 22:37,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_GEF RACI for NIM Projects.docx
2615,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Formulate Programmes and Projects.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2615'>POPP-11-2615</a>,Policy,True,Approved,2022-10-18 21:24,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Formulate Programmes and Projects.docx
2176,349;#Human Resources Management,2020-01-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,HR_Non-staff_Internship.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITBOM-3298-724'>UNITBOM-3298-724</a>,Policy,True,Approved,2022-10-18 18:31,,,2023-01-01,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Non-staff_Internship.docx
2950,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Select Responsible Party and Grantees_Spanish.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2950'>POPP-11-2950</a>,Policy,True,Approved,2022-10-17 13:13,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Select Responsible Party and Grantees_Spanish.docx
2633,669;#Programme and Project Management,2018-04-06,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Select Responsible Party and Grantees.docx,False,Mamadou Ndaw,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2633'>POPP-11-2633</a>,Policy,True,Approved,2022-10-14 21:40,,,2021-06-05,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Select Responsible Party and Grantees.docx
3233,669;#Programme and Project Management,,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Select Responsible Party and Grantees_FR.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3233'>POPP-11-3233</a>,Policy,True,Approved,2022-10-14 21:18,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Select Responsible Party and Grantees_FR.docx
961,349;#Human Resources Management,2012-04-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,HR_Allowances and Benefits_Danger Pay.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-961'>POPP-11-961</a>,Policy,True,Approved,2022-10-11 16:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Allowances and Benefits_Danger Pay.docx
2907,,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,Crisis Response_Financial Resouces for Crisis_Assessment_Coordination.docx,,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID='></a>,Policy,,Approved,2022-10-11 16:44,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Crisis Response_Financial Resouces for Crisis_Assessment_Coordination.docx
2046,350;#Financial Resources Management,2012-01-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,FRM_Financial Operations Management_Corporate Operations and Information Management_Accountability and Internal Controls.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2046'>POPP-11-2046</a>,Policy,True,Approved,2022-10-11 16:44,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Financial Operations Management_Corporate Operations and Information Management_Accountability and Internal Controls.docx
2421,356;#Accountability,2017-04-07,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,AC_Accountability_Delegation of Authorities.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2421'>POPP-11-2421</a>,Policy,True,Approved,2022-10-11 16:44,,,2019-12-31,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/AC_Accountability_Delegation of Authorities.docx
1359,356;#Accountability,,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,Ethics_Protection from Retaliation form.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITOFFICE-46-196'>UNITOFFICE-46-196</a>,Template,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Ethics_Protection from Retaliation form.docx
2611,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Annual Planning.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2611'>POPP-11-2611</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Annual Planning.docx
2601,669;#Programme and Project Management,2021-01-01,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Social and Environmental Standards.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2601'>POPP-11-2601</a>,Policy,True,Approved,2022-10-11 11:54,,,2024-01-01,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Social and Environmental Standards.docx
2602,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Close_Close and Transition.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2602'>POPP-11-2602</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Close_Close and Transition.docx
2910,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Development Services.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2910'>POPP-11-2910</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Development Services.docx
2610,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Appraise and Approve.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2610'>POPP-11-2610</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Appraise and Approve.docx
2606,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Multi-country and South-South Cooperation Projects.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2606'>POPP-11-2606</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Multi-country and South-South Cooperation Projects.docx
2608,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Performance-Based Payments.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2608'>POPP-11-2608</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Performance-Based Payments.docx
3557,669;#Programme and Project Management,2021-06-17,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Prepare Fully Costed Budgets for Projects.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITOHR-759415523-240'>UNITOHR-759415523-240</a>,Policy,True,Approved,2022-10-11 11:54,,,2023-06-17,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Prepare Fully Costed Budgets for Projects.docx
2815,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Design_Select Implementation Partner.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2815'>POPP-11-2815</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Select Implementation Partner.docx
2612,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Deliver Results.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2612'>POPP-11-2612</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Deliver Results.docx
2605,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Manage Change.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2605'>POPP-11-2605</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Manage Change.docx
2613,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Monitor.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2613'>POPP-11-2613</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Monitor.docx
2614,669;#Programme and Project Management,2018-06-05,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Provide Oversight.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2614'>POPP-11-2614</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Provide Oversight.docx
2558,669;#Programme and Project Management,2018-05-06,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Quality Standards for Programming.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2558'>POPP-11-2558</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Quality Standards for Programming.docx
3675,669;#Programme and Project Management,2021-12-10,English,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_SOP_Project_Origination_and_Integrated_Programming.pptx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3675'>POPP-11-3675</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,pptx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_SOP_Project_Origination_and_Integrated_Programming.pptx
2958,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Close_Close and Transition_Spanish.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2958'>POPP-11-2958</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Close_Close and Transition_Spanish.docx
3118,669;#Programme and Project Management,2022-06-13,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Quality Standards for Programming_FR.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3118'>POPP-11-3118</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Quality Standards for Programming_FR.docx
2953,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Annual Planning_Spanish.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2953'>POPP-11-2953</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Annual Planning_Spanish.docx
2962,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Deliver Results_Sp.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2962'>POPP-11-2962</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Deliver Results_Sp.docx
2956,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Manage Change_Spanish.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2956'>POPP-11-2956</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Manage Change_Spanish.docx
2955,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Provide Oversight_Spanish.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2955'>POPP-11-2955</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Provide Oversight_Spanish.docx
2957,669;#Programme and Project Management,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Implement_Report_Spanish.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2957'>POPP-11-2957</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Report_Spanish.docx
2945,669;#Programme and Project Management,2022-06-13,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,PPM_Programming Standards_Quality Standards for Programming_Spanish.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2945'>POPP-11-2945</a>,Policy,True,Approved,2022-10-11 11:54,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Quality Standards for Programming_Spanish.docx
2542,354;#Crisis Response,,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,Engagement with NGOs under Country Based Pooled Funds (French).pdf,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-2542'>POPP-11-2542</a>,Policy,True,Approved,2022-10-10 17:09,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,pdf,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Engagement with NGOs under Country Based Pooled Funds (French).pdf
3120,354;#Crisis Response,2017-12-20,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,Crisis Response_Financial Resouces for Crisis_Assessment_Coordination_SP.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3120'>POPP-11-3120</a>,Policy,True,Approved,2022-10-10 17:06,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Crisis Response_Financial Resouces for Crisis_Assessment_Coordination_SP.docx
3303,357;#Security,,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_Framework of Accountability for Security_Spanish.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITBOM-3298-724'>UNITBOM-3298-724</a>,Policy,True,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_Framework of Accountability for Security_Spanish.docx
3641,357;#Security,2021-11-03,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_UNDP Security Policy_Spanish.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3641'>POPP-11-3641</a>,Policy,True,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_UNDP Security Policy_Spanish.docx
3302,357;#Security,,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_Framework of Accountability for Security_French.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=UNITBOM-3298-724'>UNITBOM-3298-724</a>,Policy,True,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_Framework of Accountability for Security_French.docx
3640,357;#Security,2021-11-03,French,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,SO_UNDP Security Policy_French.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3640'>POPP-11-3640</a>,Policy,True,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_UNDP Security Policy_French.docx
3117,431;#Information and Communications Technology,2016-07-27,Spanish,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/,ICT_Security_Information Security Policy_SP.docx,False,Pablo Morete,<a href='/_Layouts/15/POPPOpenDoc.aspx?ID=POPP-11-3117'>POPP-11-3117</a>,Policy,True,Approved,2022-10-10 16:59,,,,Item,UNDP_POPP_DOCUMENT_LIBRARY/Public,,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_Information Security Policy_SP.docx
