ID,Document Language,Name,FileType,URL
3233,French,PPM_Design_Select Responsible Party and Grantees_FR.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Select Responsible Party and Grantees_FR.docx
961,English,HR_Allowances and Benefits_Danger Pay.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Allowances and Benefits_Danger Pay.docx
2907,English,Crisis Response_Financial Resouces for Crisis_Assessment_Coordination.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Crisis Response_Financial Resouces for Crisis_Assessment_Coordination.docx
2046,English,FRM_Financial Operations Management_Corporate Operations and Information Management_Accountability and Internal Controls.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Financial Operations Management_Corporate Operations and Information Management_Accountability and Internal Controls.docx
2421,English,AC_Accountability_Delegation of Authorities.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/AC_Accountability_Delegation of Authorities.docx
1359,English,Ethics_Protection from Retaliation form.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Ethics_Protection from Retaliation form.docx
2611,English,PPM_Implement_Annual Planning.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Annual Planning.docx
2601,English,PPM_Programming Standards_Social and Environmental Standards.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Social and Environmental Standards.docx
2602,English,PPM_Close_Close and Transition.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Close_Close and Transition.docx
2910,English,PPM_Design_Development Services.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Development Services.docx
2610,English,PPM_Design_Appraise and Approve.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Appraise and Approve.docx
2606,English,PPM_Design_Multi-country and South-South Cooperation Projects.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Multi-country and South-South Cooperation Projects.docx
2608,English,PPM_Design_Performance-Based Payments.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Performance-Based Payments.docx
3557,English,PPM_Design_Prepare Fully Costed Budgets for Projects.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Prepare Fully Costed Budgets for Projects.docx
2815,English,PPM_Design_Select Implementation Partner.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Design_Select Implementation Partner.docx
2612,English,PPM_Implement_Deliver Results.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Deliver Results.docx
2605,English,PPM_Implement_Manage Change.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Manage Change.docx
2613,English,PPM_Implement_Monitor.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Monitor.docx
2614,English,PPM_Implement_Provide Oversight.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Provide Oversight.docx
2558,English,PPM_Programming Standards_Quality Standards for Programming.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Quality Standards for Programming.docx
3675,English,PPM_SOP_Project_Origination_and_Integrated_Programming.pptx,pptx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_SOP_Project_Origination_and_Integrated_Programming.pptx
2958,Spanish,PPM_Close_Close and Transition_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Close_Close and Transition_Spanish.docx
3118,French,PPM_Programming Standards_Quality Standards for Programming_FR.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Quality Standards for Programming_FR.docx
2953,Spanish,PPM_Implement_Annual Planning_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Annual Planning_Spanish.docx
2962,Spanish,PPM_Implement_Deliver Results_Sp.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Deliver Results_Sp.docx
2956,Spanish,PPM_Implement_Manage Change_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Manage Change_Spanish.docx
2955,Spanish,PPM_Implement_Provide Oversight_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Provide Oversight_Spanish.docx
2957,Spanish,PPM_Implement_Report_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Implement_Report_Spanish.docx
2945,Spanish,PPM_Programming Standards_Quality Standards for Programming_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PPM_Programming Standards_Quality Standards for Programming_Spanish.docx
2542,French,Engagement with NGOs under Country Based Pooled Funds (French).pdf,pdf,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Engagement with NGOs under Country Based Pooled Funds (French).pdf
3120,Spanish,Crisis Response_Financial Resouces for Crisis_Assessment_Coordination_SP.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Crisis Response_Financial Resouces for Crisis_Assessment_Coordination_SP.docx
3303,Spanish,SO_Framework of Accountability for Security_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_Framework of Accountability for Security_Spanish.docx
3641,Spanish,SO_UNDP Security Policy_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_UNDP Security Policy_Spanish.docx
3302,French,SO_Framework of Accountability for Security_French.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_Framework of Accountability for Security_French.docx
3640,French,SO_UNDP Security Policy_French.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_UNDP Security Policy_French.docx
3117,Spanish,ICT_Security_Information Security Policy_SP.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_Information Security Policy_SP.docx
2389,English,SO_Commercial Air Travel Safety Guidelines.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_Commercial Air Travel Safety Guidelines.docx
2329,English,SO_Security Policy.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/SO_Security Policy.docx
3147,Spanish,FRM_Banking Arrangement_Procurement of Banking Services_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Banking Arrangement_Procurement of Banking Services_Spanish.docx
3116,Spanish,ICT_Security_ Disaster Recovery Standards for UNDP Offices_SP.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_ Disaster Recovery Standards for UNDP Offices_SP.docx
3133,French,ICT_Security_Information Security Policy_FR.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_Information Security Policy_FR.docx
3134,French,ICT_Security_ Disaster Recovery Standards for UNDP Offices_FR.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_ Disaster Recovery Standards for UNDP Offices_FR.docx
1191,English,ICT_Security_System Logon Banner Standards.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_System Logon Banner Standards.docx
1203,English,ICT_Security_ Disaster Recovery Standards for UNDP Offices.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_ Disaster Recovery Standards for UNDP Offices.docx
1616,English,ICT_Security_Information Security in System Acquisition.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_Information Security in System Acquisition.docx
1815,English,ICT_Security_Information Security Policy.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Security_Information Security Policy.docx
2140,English,FRM_Banking Arrangement_Establishment and Use of Electronic Banking Systems.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Banking Arrangement_Establishment and Use of Electronic Banking Systems.docx
2132,English,FRM_Banking Arrangement_Procurement of Banking Services.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Banking Arrangement_Procurement of Banking Services.docx
3813,English,ICT_Oversight_Change Control and Release Management_Standards.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Oversight_Change Control and Release Management_Standards.docx
2984,Spanish,AC_Accountability_Delegation of Authorities_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/AC_Accountability_Delegation of Authorities_Spanish.docx
2333,Spanish,AC_Accountability_Enterprise Risk Management Policy_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/AC_Accountability_Enterprise Risk Management Policy_Spanish.docx
2981,Spanish,Accountability_Managing Prescriptive Content_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Accountability_Managing Prescriptive Content_Spanish.docx
2921,French,Accountability_Managing Prescriptive Content_FR.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Accountability_Managing Prescriptive Content_FR.docx
3418,French,PSU_Award and Management of Contract_Payment and Taxes_FR.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/PSU_Award and Management of Contract_Payment and Taxes_FR.docx
2652,French,AC_Ethics_Protection against Retaliation (French).docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/AC_Ethics_Protection against Retaliation (French).docx
2867,French,AC_Internal Control Framework_Anti-Fraud Policy_FR.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/AC_Internal Control Framework_Anti-Fraud Policy_FR.docx
3060,French,AC_Accountability_Delegation of Authorities_French.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/AC_Accountability_Delegation of Authorities_French.docx
3814,English,ICT_Enterprise Solutions_ Application Development Standards.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/ICT_Enterprise Solutions_ Application Development Standards.docx
3236,French,FRM_Financial Management and Implementation Modality_Direct Implementation Modality_French .docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Financial Management and Implementation Modality_Direct Implementation Modality_French .docx
2891,French,FRM_Resource Planning and Cost Recovery_Multiple Funding Lines for Positions_FR.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Resource Planning and Cost Recovery_Multiple Funding Lines for Positions_FR.docx
2896,French,FRM_Service Clearance Account (SCA)_ Charging_ Billing and Fee Collection_FR .docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/FRM_Service Clearance Account (SCA)_ Charging_ Billing and Fee Collection_FR .docx
1928,English,HR_Allowances and Benefits_Language Allowance.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Allowances and Benefits_Language Allowance.docx
2067,English,HR_Allowances and Benefits_Mobility and hardship.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Allowances and Benefits_Mobility and hardship.docx
1929,English,HR_Allowances and Benefits_Post Adjustment.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Allowances and Benefits_Post Adjustment.docx
2261,English,HR_Allowances and Benefits_Rental Subsidy.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Allowances and Benefits_Rental Subsidy.docx
2259,English,HR_Allowances and Benefits_Safe Driving Bonus.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Allowances and Benefits_Safe Driving Bonus.docx
2418,English,HR_Allowances and benefits_Settling in Grant.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Allowances and benefits_Settling in Grant.docx
2260,English,HR_Allowances and Benefits_Uniforms.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Allowances and Benefits_Uniforms.docx
1129,English,HR_Appointment and Promotion_Interim Roster Rules of Procedure.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Appointment and Promotion_Interim Roster Rules of Procedure.docx
1643,English,HR_Appointment and Promotion_Recruitment and Selection Framework.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Appointment and Promotion_Recruitment and Selection Framework.docx
3350,English,HR_Appointment and Promotion_Recruitment and Selection Local FTAs and Intl FTA Posts Not Covered by the Candidate Pools.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Appointment and Promotion_Recruitment and Selection Local FTAs and Intl FTA Posts Not Covered by the Candidate Pools.docx
1454,English,HR_Appointment and Promotion_Rules and Procedures for the UNDP Compliance Review Panel_CRP.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Appointment and Promotion_Rules and Procedures for the UNDP Compliance Review Panel_CRP.docx
1175,English,HR_Appointment and Promotion_Selection and Reassignment Policy International Rotational Posts.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Appointment and Promotion_Selection and Reassignment Policy International Rotational Posts.docx
1797,English,HR_Compensation_Compensation for Death Injury or Illness – Appendix D.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Compensation_Compensation for Death Injury or Illness – Appendix D.docx
1769,English,HR_Entitlement Travel_Chartered Medical Evacuation Travel.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlement Travel_Chartered Medical Evacuation Travel.docx
2107,English,HR_Entitlement Travel_Family visit.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlement Travel_Family visit.docx
1885,English,HR_Entitlement Travel_Home Leave.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlement Travel_Home Leave.docx
955,English,HR_Entitlement Travel_Medical Evacuation Travel.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlement Travel_Medical Evacuation Travel.docx
969,English,HR_Entitlement Travel_Rest and Recuperation.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlement Travel_Rest and Recuperation.docx
2404,English,HR_Entitlement upon Separation_Repatriation Grant.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlement upon Separation_Repatriation Grant.docx
2248,English,HR_Entitlements Upon Separation_Certificate of Service.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlements Upon Separation_Certificate of Service.docx
2073,English,HR_Entitlements Upon Separation_Commutation of Annual Leave.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlements Upon Separation_Commutation of Annual Leave.docx
2249,English,HR_Entitlements Upon Separation_Death Benefit.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlements Upon Separation_Death Benefit.docx
2039,English,HR_Entitlements Upon Separation_Entitlements upon Separation.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlements Upon Separation_Entitlements upon Separation.docx
2295,English,HR_Hours of Work Holidays_Hours of Work.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Hours of Work Holidays_Hours of Work.docx
2075,English,HR_Entitlements Upon Separation_Last Day for Pay Purposes.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Entitlements Upon Separation_Last Day for Pay Purposes.docx
1872,English,HR_Insurance Plans_Aetna Group Life Insurance Plan.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_Aetna Group Life Insurance Plan.docx
2285,English,HR_Insurance Plans_After-Service Health Insurance - ASHI MIP.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_After-Service Health Insurance - ASHI MIP.docx
1808,English,HR_Insurance Plans_After-Service Health Insurance - ASHI UN.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_After-Service Health Insurance - ASHI UN.docx
1805,English,HR_Insurance Plans_Dental Insurance - UN NY Cigna Dental Plan.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_Dental Insurance - UN NY Cigna Dental Plan.docx
1801,English,HR_Insurance Plans_Malicious Acts Insurance Policy (MAIP).docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_Malicious Acts Insurance Policy (MAIP).docx
1802,English,HR_Insurance Plans_Medical Insurance  - UN NY Aetna Medical Insurance.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_Medical Insurance  - UN NY Aetna Medical Insurance.docx
1800,English,HR_Insurance Plans_Medical Insurance  - UN NY Empire Blue Cross PPO Medical Insurance.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_Medical Insurance  - UN NY Empire Blue Cross PPO Medical Insurance.docx
1803,English,HR_Insurance Plans_Medical Insurance  - UN NY HIP Health Plan.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_Medical Insurance  - UN NY HIP Health Plan.docx
1804,English,HR_Insurance Plans_Medical Insurance  - UN Vanbreda Worldwide Medical Insurance Plan.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_Medical Insurance  - UN Vanbreda Worldwide Medical Insurance Plan.docx
1809,English,HR_Insurance Plans_Medical Insurance - Medical Insurance Plan (MIP).docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Insurance Plans_Medical Insurance - Medical Insurance Plan (MIP).docx
1896,English,HR_Learning and Development_Educational Assistance Programme.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Learning and Development_Educational Assistance Programme.docx
3338,English,HR_Non-Staff_Fellowship.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Non-Staff_Fellowship.docx
3433,English,HR_Non-Staff_International Personnel Services Agreement_IPSA.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Non-Staff_International Personnel Services Agreement_IPSA.docx
3532,English,HR_Non-Staff_National Personnel Services Agreement_NPSA.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Non-Staff_National Personnel Services Agreement_NPSA.docx
3441,English,HR_Non-Staff_Partner Personnel Services Agreement_PPSA.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Non-Staff_Partner Personnel Services Agreement_PPSA.docx
2344,English,HR_Non-Staff_Service Contract.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Non-Staff_Service Contract.docx
2060,English,HR_Pension Fund_Pension Fund.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Pension Fund_Pension Fund.docx
3485,English,HR_Probation Upon Appointment.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Probation Upon Appointment.docx
2262,English,HR_Recovery Retroactivity Deductions and Contributions_Deductions and Contributions.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Recovery Retroactivity Deductions and Contributions_Deductions and Contributions.docx
3405,English,HR_Recruitment and Selection_Career Transitions.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Recruitment and Selection_Career Transitions.docx
2266,English,HR_Salaries​_Elements of Remuneration.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Salaries​_Elements of Remuneration.docx
2304,English,HR_Recruitment and Selection_Experience and Academic Qualifications.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Recruitment and Selection_Experience and Academic Qualifications.docx
2263,English,HR_Recovery Retroactivity Deductions and Contributions_Recovery of Overpayments.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Recovery Retroactivity Deductions and Contributions_Recovery of Overpayments.docx
2264,English,HR_Recovery Retroactivity Deductions and Contributions_Retroactivity of Payments.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Recovery Retroactivity Deductions and Contributions_Retroactivity of Payments.docx
3078,English,HR_Recruitment and Selection_Eligibility for International Benefits and Entitlements.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Recruitment and Selection_Eligibility for International Benefits and Entitlements.docx
2072,English,HR_Salaries​_Night Differential.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Salaries​_Night Differential.docx
2268,English,HR_Salaries​_Principles of Remuneration.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Salaries​_Principles of Remuneration.docx
1930,English,HR_Salaries​_Salary Advance.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Salaries​_Salary Advance.docx
2273,English,HR_Salaries​_Salary Surveys.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Salaries​_Salary Surveys.docx
2265,English,HR_Salaries_Currency of Payments.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Salaries_Currency of Payments.docx
1810,English,HR_Types of Leave_Absence Management Guidelines.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Types of Leave_Absence Management Guidelines.docx
1811,English,HR_Types of Leave_Adoption Leave.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/HR_Types of Leave_Adoption Leave.docx
2557,English,Partnerships_Managing Partnerships.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Partnerships_Managing Partnerships.docx
2814,French,Partnerships_Foundations (French).docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Partnerships_Foundations (French).docx
2357,English,Partnerships_Private Sector Partnerships.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Partnerships_Private Sector Partnerships.docx
2812,French,Partnerships_Managing Partnerships (French).docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Partnerships_Managing Partnerships (French).docx
2813,Spanish,BERA_Partnerships_Foundations (Spanish).docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/BERA_Partnerships_Foundations (Spanish).docx
2849,French,Partnerships_Private Sector Partnerships_French.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Partnerships_Private Sector Partnerships_French.docx
2975,Spanish,Partnerships_Private Sector Partnerships_Spanish.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Partnerships_Private Sector Partnerships_Spanish.docx
3635,French,Admin Service_Asset Management Property Plant Equipment PPE_PPE_French.docx,docx,https://popp.undp.org/UNDP_POPP_DOCUMENT_LIBRARY/Public/Admin Service_Asset Management Property Plant Equipment PPE_PPE_French.docx
